Korece,Türkçe,Kelime Türü Türkçesi,Kelime Türü Korecesi,Kullanım Notu,Seviye
~놓다,devam ettirmek,yardımcı fiil,보,Eylemin devam ettirilmesi anlamında kullanılır.,A
~드리다,vermek (saygılı),yardımcı fiil,보,Saygılı ifadeyle eylemin devamını belirtir.,A
~보다,-e göre,zarf,부,Karşılaştırma yaparken miktarın veya derecenin üstün olduğunu ifade eder.,A
~오다,gelmek,yardımcı fiil,보,Eylemin devamlılığını veya tamamlanmakta olduğunu ifade eder.,A
~있다,devam etmek,yardımcı fiil,보,Eylemin sürmekte olduğunu ifade eder.,A
~지 말다,yapmamak,yardımcı fiil,보,Genellikle gereksiz veya yapılmaması gereken eylemleri ifade eder.,A
가게,dükkan,isim,명,"Küçük işletme, perakende satış yeri",A
가격,fiyat,İsim,명,Bir mal veya hizmetin belirlenen değeri.,A
가구,mobilya,İsim,명,Ev veya ofislerde kullanılan eşyalar.,A
가깝다,yakın olmak,fiil,형,"Mesafe olarak kısa olmak, yakınlığı belirtir",A
가끔,bazen,zarf,부,"Zaman zaman, ara sıra",A
가다,gitmek,fiil,동,Bir yere hareket etmek,A
가르치다,öğretmek,fiil,동,"Bilgi aktarmak, ders vermek",A
가방,çanta,isim,명,"Taşıma çantası, torba",A
가볍다,hafif olmak,fiil,형,Ağırlığının az olduğunu ifade eder,A
가수,şarkıcı,isim,명,Şarkı söyleyen kişi,A
가슴,göğüs,isim,명,Üst gövde bölgesi,A
가운데,ortada,isim,명,Bir şeyin tam orta kısmı,A
가을,sonbahar,isim,명,Mevsim olarak sonbahar,A
가장,en çok,zarf,부,Miktar ya da derece belirtir,A
가져오다,getirmek,fiil,동,Bir şeyi bir yerden alıp getirmek,A
가족,aile,isim,명,Kan bağı veya evde yaşayan kişiler,A
가지다,sahip olmak,fiil,동,"Bir şeye sahip olmak, elde etmek",A
각,"her, her bir",Sıfat,관,Bir grup içindeki her bir öğeyi ifade eder.,A
간,"sırasında, esnasında",İsim,의,"Bir olayın gerçekleştiği zamanı veya iki şey arasındaki ilişkiyi ifade eder. Örneğin, 부부간 (karı koca arasındaki ilişki) gibi kelimelerle birlikte kullanılır.",A
간호사,hemşire,isim,명,Sağlık hizmeti veren kişi,A
갈비,kaburga,isim,명,Etin kemik kenarındaki kısmı (yemeklerde kullanılır),A
감기,nezle,isim,명,"Üst solunum yolu enfeksiyonu, soğuk algınlığı",A
감사,teşekkür,isim,명,"Minnettarlık ifadesi, teşekkür etme",A
감사하다,teşekkür etmek,fiil,동,Birine minnettarlık belirtmek,A
감사하다,minnettar olmak,fiil,형,Minnettar duygusu beslemek,A
갑자기,aniden,zarf,부,"Beklenmedik şekilde, ani olarak",A
값,fiyat,isim,명,Bir ürünün satış değeri,A
강,nehir,isim,명,"Doğal su akıntısı, ırmak",A
같다,aynı olmak,fiil,형,İki şeyin eşit ya da benzer olduğunu belirtir,A
같이,birlikte,zarf,부,"Bir arada, beraber",A
개,köpek,isim,명,Evcil hayvan,A
개,adet,sayı,의,Nesneleri sayma birimi,A
개월,ay,sayı,의,Ay sayma birimi,A
거,o şey,zamir,대,Belirli olmayan nesneyi işaret eder,A
거기,orada,zamir,대,Uzakta işaret edilen yer,A
거리,sokak,isim,명,"Yol, sokak",A
거울,ayna,isim,명,Yansıma veya örnek; bazen model olarak kullanılır,A
걱정,endişe,isim,명,"Kaygı, üzüntü",A
걱정하다,endişelenmek,fiil,동,Kaygı duymak,A
건강,sağlık,isim,명,"Vücut sağlığı, genel sağlık durumu",A
건강하다,sağlıklı olmak,fiil,형,Sağlıklı durumda olmak,A
건물,bina,isim,명,"Yapı, inşaat",A
